Date,Versus,Ground,How Dismissed,Runs,S/R,catches,aggregate,catches_wk,stumping_wk,agg_wk,age,who_dismissed,played_city,played_country
2018-09-18,Hong Kong,Dubai International Cricket Stadium,c Babar Hayat b K D Shah,33.0,86.84,0,23,0,0,37,33,K D Shah,Dubai,United Arab Emirates
2018-09-19,Pakistan,Dubai International Cricket Stadium,not out,31.0,83.78,1,24,0,0,37,33,0,Dubai,United Arab Emirates
2018-09-21,Bangladesh,Dubai International Cricket Stadium,not out,1.0,33.33,0,24,0,0,37,33,0,Dubai,United Arab Emirates
2018-09-23,Pakistan,Dubai International Cricket Stadium,did not bat,,0.0,0,24,0,0,37,33,0,Dubai,United Arab Emirates
2018-09-25,Afghanistan,Dubai International Cricket Stadium,lbw b Mohammad Nabi,44.0,66.67,1,25,0,0,37,33,Mohammad Nabi,Dubai,United Arab Emirates
2018-09-28,Bangladesh,Dubai International Cricket Stadium,lbw b Mahmudullah,37.0,60.66,0,25,0,0,37,33,Mahmudullah,Dubai,United Arab Emirates
2019-01-15,Australia,Adelaide Oval,not out,25.0,178.57,1,26,0,0,37,33,0,Adelaide,Australia
2019-01-18,Australia,Melbourne Cricket Ground,did not bat,,0.0,0,26,0,0,37,33,0,Melbourne,Australia
2019-01-28,New Zealand,Bay Oval,not out,38.0,100.0,0,26,4,0,41,33,0,Mount Maunganui,New Zealand
2019-01-31,New Zealand,Seddon Park,c †T W M Latham b C de Grandhomme,0.0,0.0,0,26,1,0,42,33,C de Grandhomme,Hamilton,New Zealand
