Date,Versus,Ground,How Dismissed,Runs,S/R,catches,aggregate,catches_wk,stumping_wk,agg_wk,age,who_dismissed,played_city,played_country
2007-08-09,England,Lord's,c J M Anderson b A Flintoff,50.0,69.44,0.0,0,1,0,103,26,A Flintoff,London,England
2011-11-09,England,Lord's,not out,78.0,109.86,0.0,0,0,0,241,30,0,London,England
2007-08-10,Australia,Sector 16 Stadium,not out,50.0,142.86,0.0,0,0,2,109,26,0,Chandigarh,India
2007-05-11,Pakistan,Nehru Stadium (Guwahati),c †Kamran Akmal b Shoaib Akhtar,63.0,81.82,0.0,0,0,1,112,26,Shoaib Akhtar,Guwahati,India
2009-08-11,Australia,Nehru Stadium (Guwahati),lbw b D E Bollinger,24.0,31.17,0.0,0,0,0,198,28,D E Bollinger,Guwahati,India
2007-11-15,Pakistan,Captain Roop Singh Stadium,not out,45.0,100.0,0.0,0,0,0,113,26,0,Gwalior,India
2010-02-24,South Africa,Captain Roop Singh Stadium,not out,68.0,194.29,0.0,0,0,0,206,28,0,Gwalior,India
2008-03-02,Australia,Brisbane Cricket Ground,c R T Ponting b B Lee,37.0,60.66,0.0,0,1,0,117,26,B Lee,Brisbane,Australia
2008-04-02,Sri Lanka,Brisbane Cricket Ground,not out,88.0,92.63,0.0,0,0,0,117,26,0,Brisbane,Australia
2008-04-03,Australia,Brisbane Cricket Ground,c M J Clarke b N W Bracken,36.0,97.3,0.0,0,3,0,137,26,N W Bracken,Brisbane,Australia
2012-02-19,Australia,Brisbane Cricket Ground,c D T Christian b B W Hilfenhaus,56.0,66.67,0.0,0,0,0,253,30,B W Hilfenhaus,Brisbane,Australia
2015-01-20,England,Brisbane Cricket Ground,c †J C Buttler b S T Finn,34.0,55.74,0.0,0,0,0,314,33,S T Finn,Brisbane,Australia
2008-10-02,Australia,Melbourne Cricket Ground,not out,17.0,31.48,0.0,0,4,1,122,26,0,Melbourne,Australia
2012-05-02,Australia,Melbourne Cricket Ground,c D A Warner b X J Doherty,29.0,76.32,0.0,0,0,0,248,30,X J Doherty,Melbourne,Australia
2015-01-18,Australia,Melbourne Cricket Ground,b M A Starc,19.0,61.29,0.0,0,2,0,314,33,M A Starc,Melbourne,Australia
2015-02-22,South Africa,Melbourne Cricket Ground,c †Q de Kock b M Morkel,18.0,163.64,0.0,0,0,0,317,33,M Morkel,Melbourne,Australia
2015-03-19,Bangladesh,Melbourne Cricket Ground,c Nasir Hossain b Taskin Ahmed,6.0,54.55,0.0,0,4,0,329,33,Taskin Ahmed,Melbourne,Australia
2008-12-02,Sri Lanka,Manuka Oval,run out,31.0,119.23,0.0,0,1,0,123,26,0,Canberra,Australia
2008-02-17,Australia,Adelaide Oval,run out,37.0,74.0,0.0,0,3,1,127,26,0,Adelaide,Australia
2008-02-19,Sri Lanka,Adelaide Oval,not out,50.0,73.53,0.0,0,1,0,128,26,0,Adelaide,Australia
2012-12-02,Australia,Adelaide Oval,not out,44.0,75.86,0.0,0,0,0,251,30,0,Adelaide,Australia
2012-02-14,Sri Lanka,Adelaide Oval,not out,58.0,84.06,0.0,0,2,0,253,30,0,Adelaide,Australia
2015-02-15,Pakistan,Adelaide Oval,0,18.0,138.46,0.0,0,3,0,317,33,Sohail Khan,Adelaide,Australia
2008-02-26,Sri Lanka,Bellerive Oval,did not bat,,0.0,0.0,0,3,0,132,26,0,Hobart,Australia
2012-02-28,Sri Lanka,Bellerive Oval,did not bat,,0.0,0.0,0,0,0,256,30,0,Hobart,Australia
2008-11-17,England,Holkar Cricket Stadium,b P D Collingwood,15.0,57.69,0.0,0,0,1,161,27,P D Collingwood,Indore,India
2009-03-03,New Zealand,McLean Park,not out,84.0,94.38,0.0,0,1,1,172,27,0,Napier,New Zealand
2014-01-19,New Zealand,McLean Park,c †L Ronchi b M J McClenaghan,40.0,86.96,0.0,0,2,0,301,32,M J McClenaghan,Napier,New Zealand
2009-08-03,New Zealand,AMI Stadium,c †P D McGlashan b K D Mills,68.0,117.24,0.0,0,0,0,172,27,K D Mills,Christchurch,New Zealand
2009-11-03,New Zealand,Seddon Park,did not bat,,0.0,0.0,0,1,0,173,27,0,Hamilton,New Zealand
2014-01-22,New Zealand,Seddon Park,c K S Williamson b C J Anderson,56.0,127.27,0.0,0,2,1,304,32,C J Anderson,Hamilton,New Zealand
2014-01-28,New Zealand,Seddon Park,not out,79.0,108.22,0.0,0,0,0,304,32,0,Hamilton,New Zealand
2015-10-03,Ireland,Seddon Park,did not bat,,0.0,0.0,0,2,0,323,33,0,Hamilton,New Zealand
2009-03-14,New Zealand,Eden Park,b J D Ryder,9.0,42.86,0.0,0,0,0,173,27,J D Ryder,Auckland,New Zealand
2014-01-25,New Zealand,Eden Park,c T G Southee b C J Anderson,50.0,83.33,0.0,0,0,0,304,32,C J Anderson,Auckland,New Zealand
2015-03-14,Zimbabwe,Eden Park,not out,85.0,111.84,0.0,0,2,0,325,33,0,Auckland,New Zealand
2009-03-07,West Indies,Darren Sammy National Cricket Stadium,not out,46.0,135.29,0.0,0,2,1,178,27,0,"Gros Islet, St Lucia",West Indies
2009-05-07,West Indies,Darren Sammy National Cricket Stadium,did not bat,,0.0,0.0,0,1,0,179,27,0,"Gros Islet, St Lucia",West Indies
2009-09-30,West Indies,New Wanderers Stadium,did not bat,,0.0,0.0,0,2,0,191,28,0,Johannesburg,South Africa
2011-01-15,South Africa,New Wanderers Stadium,b L L Tsotsobe,38.0,62.3,0.0,0,2,0,227,29,L L Tsotsobe,Johannesburg,South Africa
2013-05-12,South Africa,New Wanderers Stadium,b D W Steyn,65.0,91.55,0.0,0,0,0,297,32,D W Steyn,Johannesburg,South Africa
2011-03-09,England,Riverside Ground,c †C Kieswetter b T T Bresnan,33.0,91.67,0.0,0,0,0,241,30,T T Bresnan,0,England
2012-07-21,Sri Lanka,Mahinda Rajapaksha International Cricket Stadium,c H D R L Thirimanne b N L T C Perera,35.0,120.69,0.0,0,1,0,259,31,N L T C Perera,Hambantota,Sri Lanka
2012-07-24,Sri Lanka,Mahinda Rajapaksha International Cricket Stadium,c †K C Sangakkara b A D Mathews,11.0,68.75,0.0,0,1,0,260,31,A D Mathews,Hambantota,Sri Lanka
2012-04-08,Sri Lanka,Pallekele International Cricket Stadium,c †L D Chandimal b S L Malinga,58.0,152.63,0.0,0,1,0,265,31,S L Malinga,"Pallekele, Kandy",Sri Lanka
2013-11-01,England,Saurashtra Cricket Association Stadium,c J E Root b J W Dernbach,32.0,128.0,0.0,0,0,0,268,31,J W Dernbach,"Khandheri, Rajkot",India
2013-01-19,England,JSCA International Stadium Complex,not out,10.0,83.33,0.0,0,3,0,274,31,0,Ranchi,India
2013-10-23,Australia,JSCA International Stadium Complex,did not bat,,0.0,0.0,0,1,1,291,32,0,Ranchi,India
2013-01-27,England,Himachal Pradesh Cricket Association Stadium,lbw b S T Finn,15.0,65.22,0.0,0,0,0,274,31,S T Finn,Dharamsala,India
2014-10-17,West Indies,Himachal Pradesh Cricket Association Stadium,run out,6.0,120.0,0.0,0,0,0,312,33,0,Dharamsala,India
2013-10-13,Australia,Maharashtra Cricket Association Stadium,b C J McKay,19.0,86.36,0.0,0,0,0,287,32,C J McKay,Pune,India
