Date,Versus,Ground,How Dismissed,Runs,S/R,catches,aggregate,catches_wk,stumping_wk,agg_wk,age,who_dismissed,played_city,played_country
2009-09-14,Sri Lanka,R Premadasa Stadium,c K M D N Kulasekara b T Thushara,8.0,133.33,1,31,0.0,0.0,0.0,22,T Thushara,Colombo,Sri Lanka
2012-07-28,Sri Lanka,R Premadasa Stadium,not out,65.0,144.44,0,61,0.0,0.0,0.0,25,0,Colombo,Sri Lanka
2012-07-31,Sri Lanka,R Premadasa Stadium,not out,58.0,113.73,1,62,0.0,0.0,0.0,25,0,Colombo,Sri Lanka
2008-11-20,England,Green Park,b S C J Broad,1.0,12.5,1,24,0.0,0.0,0.0,21,S C J Broad,Kanpur,India
2013-11-27,West Indies,Green Park,c †J Charles b D J J Bravo,34.0,79.07,1,88,0.0,0.0,0.0,27,D J J Bravo,Kanpur,India
2015-11-10,South Africa,Green Park,0,3.0,100.0,1,105,0.0,0.0,0.0,30,Imran Tahir,Kanpur,India
2008-11-23,England,M Chinnaswamy Stadium,did not bat,,0.0,0,24,0.0,0.0,0.0,21,0,"Bengaluru, Bangalore",India
2013-02-11,Australia,M Chinnaswamy Stadium,lbw b X J Doherty,28.0,93.33,0,86,0.0,0.0,0.0,26,X J Doherty,"Bengaluru, Bangalore",India
2008-11-26,England,Barabati Stadium,not out,53.0,100.0,0,24,0.0,0.0,0.0,21,0,Cuttack,India
2009-12-21,Sri Lanka,Barabati Stadium,did not bat,,0.0,1,36,0.0,0.0,0.0,23,0,Cuttack,India
2011-11-29,West Indies,Barabati Stadium,c D M Bravo b A D Russell,5.0,71.43,0,53,0.0,0.0,0.0,25,A D Russell,Cuttack,India
2014-02-11,Sri Lanka,Barabati Stadium,lbw b S Randiv,52.0,152.94,0,93,0.0,0.0,0.0,27,S Randiv,Cuttack,India
2009-03-03,New Zealand,McLean Park,c I E O'Brien b G D Elliott,66.0,169.23,0,28,0.0,0.0,0.0,22,G D Elliott,Napier,New Zealand
2014-01-19,New Zealand,McLean Park,c T G Southee b A F Milne,18.0,81.82,0,88,0.0,0.0,0.0,27,A F Milne,Napier,New Zealand
2009-08-03,New Zealand,AMI Stadium,not out,38.0,211.11,0,28,0.0,0.0,0.0,22,0,Christchurch,New Zealand
2009-11-03,New Zealand,Seddon Park,did not bat,,0.0,1,29,0.0,0.0,0.0,22,0,Hamilton,New Zealand
2014-01-22,New Zealand,Seddon Park,c T G Southee b K D Mills,35.0,159.09,1,89,0.0,0.0,0.0,27,K D Mills,Hamilton,New Zealand
2015-10-03,Ireland,Seddon Park,did not bat,,0.0,0,101,0.0,0.0,0.0,29,0,Hamilton,New Zealand
2009-03-14,New Zealand,Eden Park,c S B Styris b J D P Oram,8.0,42.11,0,29,0.0,0.0,0.0,22,J D P Oram,Auckland,New Zealand
2014-01-25,New Zealand,Eden Park,c †L Ronchi b T G Southee,31.0,79.49,1,90,0.0,0.0,0.0,27,T G Southee,Auckland,New Zealand
2015-03-14,Zimbabwe,Eden Park,not out,110.0,105.77,1,102,0.0,0.0,0.0,29,0,Auckland,New Zealand
2009-09-30,West Indies,New Wanderers Stadium,did not bat,,0.0,0,32,0.0,0.0,0.0,22,0,Johannesburg,South Africa
2011-01-15,South Africa,New Wanderers Stadium,lbw b L L Tsotsobe,11.0,78.57,0,46,0.0,0.0,0.0,24,L L Tsotsobe,Johannesburg,South Africa
2013-05-12,South Africa,New Wanderers Stadium,run out,14.0,70.0,0,88,0.0,0.0,0.0,27,0,Johannesburg,South Africa
2009-05-11,Australia,Rajiv Gandhi International Stadium,c †G A Manou b S R Watson,59.0,100.0,0,34,0.0,0.0,0.0,22,S R Watson,Hyderabad,India
2011-10-14,England,Rajiv Gandhi International Stadium,c J M Bairstow b S T Finn,61.0,110.91,0,51,0.0,0.0,0.0,24,S T Finn,Hyderabad,India
2014-09-11,Sri Lanka,Rajiv Gandhi International Stadium,not out,18.0,78.26,0,94,0.0,0.0,0.0,27,0,Hyderabad,India
2009-08-11,Australia,Nehru Stadium (Guwahati),c N M Hauritz b M G Johnson,0.0,0.0,1,35,0.0,0.0,0.0,22,M G Johnson,Guwahati,India
2010-11-28,New Zealand,Nehru Stadium (Guwahati),c J M How b K D Mills,13.0,72.22,1,46,0.0,0.0,0.0,24,K D Mills,Guwahati,India
2009-12-24,Sri Lanka,Eden Gardens,did not bat,,0.0,0,36,0.0,0.0,0.0,23,0,Kolkata,India
2011-10-25,England,Eden Gardens,run out,38.0,82.61,1,53,0.0,0.0,0.0,24,0,Kolkata,India
2013-03-01,Pakistan,Eden Gardens,st Kamran Akmal b Mohammad Hafeez,18.0,42.86,0,63,0.0,0.0,0.0,26,Mohammad Hafeez,Kolkata,India
2014-11-13,Sri Lanka,Eden Gardens,c D P M D Jayawardene b A D Mathews,11.0,220.0,1,95,0.0,0.0,0.0,27,A D Mathews,Kolkata,India
2010-02-24,South Africa,Captain Roop Singh Stadium,did not bat,,0.0,1,41,0.0,0.0,0.0,23,0,Gwalior,India
2010-05-28,Zimbabwe,Queens Sports Club,c †B R M Taylor b C B Mpofu,37.0,69.81,0,41,0.0,0.0,0.0,23,C B Mpofu,Bulawayo,Zimbabwe
2010-05-30,Sri Lanka,Queens Sports Club,not out,24.0,104.35,1,42,0.0,0.0,0.0,23,0,Bulawayo,Zimbabwe
2013-01-08,Zimbabwe,Queens Sports Club,not out,65.0,91.55,0,74,0.0,0.0,0.0,26,0,Bulawayo,Zimbabwe
2013-03-08,Zimbabwe,Queens Sports Club,did not bat,,0.0,2,76,0.0,0.0,0.0,26,0,Bulawayo,Zimbabwe
2010-03-06,Zimbabwe,Harare Sports Club,run out,3.0,60.0,0,42,0.0,0.0,0.0,23,0,Harare,Zimbabwe
2010-05-06,Sri Lanka,Harare Sports Club,c C K Kapugedera b T M Dilshan,19.0,105.56,0,42,0.0,0.0,0.0,23,T M Dilshan,Harare,Zimbabwe
2013-07-24,Zimbabwe,Harare Sports Club,c Sikandar Raza b P Utseya,0.0,0.0,1,74,0.0,0.0,0.0,26,P Utseya,Harare,Zimbabwe
2013-07-26,Zimbabwe,Harare Sports Club,c †B R M Taylor b T L Chatara,4.0,36.36,0,74,0.0,0.0,0.0,26,T L Chatara,Harare,Zimbabwe
2013-07-28,Zimbabwe,Harare Sports Club,not out,28.0,155.56,0,74,0.0,0.0,0.0,26,0,Harare,Zimbabwe
2010-10-20,Australia,Dr YS Rajasekhara Reddy Cricket Stadium,not out,71.0,151.06,0,45,0.0,0.0,0.0,23,0,Visakhapatnam,India
