Date,Versus,Ground,How Dismissed,Runs,S/R
02/11/2013,Australia,M Chinnaswamy Stadium,c sub b C J McKay,209,132.28
21/11/2013,West Indies,Nehru Stadium (Kochi),c L M P Simmons b R Rampaul,72,88.89
24/11/2013,West Indies,Dr YS Rajasekhara Reddy Cricket Stadium,c D J G Sammy b R Rampaul,12,63.16
27/11/2013,West Indies,Green Park,c D J J Bravo b R Rampaul,4,28.57
05/12/2013,South Africa,New Wanderers Stadium,run out,18,41.86
08/12/2013,South Africa,Kingsmead,c H M Amla b L L Tsotsobe,19,73.08
11/12/2013,South Africa,SuperSport Park,did not bat,-,-
19/01/2014,New Zealand,McLean Park,c T G Southee b M J McClenaghan,3,13.04
22/01/2014,New Zealand,Seddon Park,c †L Ronchi b T G Southee,20,58.82
25/01/2014,New Zealand,Eden Park,c H K Bennett b C J Anderson,39,102.63
28/01/2014,New Zealand,Seddon Park,c †L Ronchi b K S Williamson,79,84.04
31/01/2014,New Zealand,Westpac Stadium,c L R P L Taylor b K D Mills,4,30.77
26/02/2014,Bangladesh,Khan Shaheb Osman Ali Stadium,b Ziaur Rahman,21,72.41
28/02/2014,Sri Lanka,Khan Shaheb Osman Ali Stadium,lbw b S M S M Senanayake,13,46.43
01/03/2014,Pakistan,Shere Bangla National Stadium,c Mohammad Hafeez b Mohammad Talha,56,96.55
05/03/2014,Afghanistan,Shere Bangla National Stadium,not out,18*,75.00
27/08/2014,England,Sophia Gardens,c C R Woakes b J C Tredwell,52,59.77
13/11/2014,Sri Lanka,Eden Gardens,c D P M D Jayawardene b K M D N Kulasekara,264,152.60
16/11/2014,Sri Lanka,JSCA International Stadium Complex,b A D Mathews,9,75.00
18/01/2015,Australia,Melbourne Cricket Ground,c G J Maxwell b M A Starc,138,99.28
15/02/2015,Pakistan,Adelaide Oval,c Misbah-ul-Haq b Sohail Khan,15,75.00
22/02/2015,South Africa,Melbourne Cricket Ground,run out,0,0.00
28/02/2015,United Arab Emirates,WACA Ground,not out,57*,103.64
06/03/2015,West Indies,WACA Ground,c †D Ramdin b J E Taylor,7,38.89
10/03/2015,Ireland,Seddon Park,b S R Thompson,64,96.97
14/03/2015,Zimbabwe,Eden Park,c Sikandar Raza b T Panyangara,16,76.19
19/03/2015,Bangladesh,Melbourne Cricket Ground,b Taskin Ahmed,137,108.73
26/03/2015,Australia,Sydney Cricket Ground,b M G Johnson,34,70.83
18/06/2015,Bangladesh,Shere Bangla National Stadium,c Mashrafe Mortaza b Mustafizur Rahman,63,92.65
21/06/2015,Bangladesh,Shere Bangla National Stadium,c Sabbir Rahman b Mustafizur Rahman,0,0.00
24/06/2015,Bangladesh,Shere Bangla National Stadium,c †Liton Das b Mustafizur Rahman,29,100.00
11/10/2015,South Africa,Green Park,c & b Imran Tahir,150,112.78
14/10/2015,South Africa,Holkar Cricket Stadium,b K Rabada,3,30.00
18/10/2015,South Africa,Saurashtra Cricket Association Stadium,c & b J-P Duminy,65,87.84
22/10/2015,South Africa,MA Chidambaram Stadium,c F du Plessis b C H Morris,21,110.53
25/10/2015,South Africa,Wankhede Stadium,c Imran Tahir b K J Abbott,16,80.00
12/01/2016,Australia,WACA Ground,not out,171*,104.91
15/01/2016,Australia,Brisbane Cricket Ground,run out,124,97.64
17/01/2016,Australia,Melbourne Cricket Ground,c †M S Wade b K W Richardson,6,54.55
20/01/2016,Australia,Manuka Oval,c †M S Wade b K W Richardson,41,164.00
23/01/2016,Australia,Sydney Cricket Ground,c †M S Wade b J W Hastings,99,91.67
16/10/2016,New Zealand,Himachal Pradesh Cricket Association Stadium,lbw b D A J Bracewell,14,53.85
20/10/2016,New Zealand,Feroz Shah Kotla,c †L Ronchi b T A Boult,15,55.56
23/10/2016,New Zealand,Punjab Cricket Association IS Bindra Stadium,lbw b T G Southee,13,61.90
26/10/2016,New Zealand,JSCA International Stadium Complex,c †B J Watling b T G Southee,11,57.89
29/10/2016,New Zealand,Dr YS Rajasekhara Reddy Cricket Stadium,c J D S Neesham b T A Boult,70,107.69
04/06/2017,Pakistan,Edgbaston,run out,91,76.47
08/06/2017,Sri Lanka,Kennington Oval,c N L T C Perera b S L Malinga,78,98.73
11/06/2017,South Africa,Kennington Oval,c †Q de Kock b M Morkel,12,60.00
15/06/2017,Bangladesh,Edgbaston,not out,123*,95.35
18/06/2017,Pakistan,Kennington Oval,lbw b Mohammad Amir,0,0.00
20/08/2017,Sri Lanka,Rangiri Dambulla International Stadium,run out,4,30.77
24/08/2017,Sri Lanka,Pallekele International Cricket Stadium,lbw b A Dananjaya,54,120.00
27/08/2017,Sri Lanka,Pallekele International Cricket Stadium,not out,124*,85.52
31/08/2017,Sri Lanka,R Premadasa Stadium,c †N Dickwella b A D Mathews,104,118.18
03/09/2017,Sri Lanka,R Premadasa Stadium,c P M Pushpakumara b M V T Fernando,16,80.00
17/09/2017,Australia,MA Chidambaram Stadium,c N M Coulter-Nile b M P Stoinis,28,63.64
21/09/2017,Australia,Eden Gardens,c & b N M Coulter-Nile,7,50.00
24/09/2017,Australia,Holkar Cricket Stadium,c sub b N M Coulter-Nile,71,114.52
28/09/2017,Australia,M Chinnaswamy Stadium,run out,65,118.18
01/10/2017,Australia,Vidarbha Cricket Association Stadium,c N M Coulter-Nile b A Zampa,125,114.68
22/10/2017,New Zealand,Wankhede Stadium,b T A Boult,20,111.11
25/10/2017,New Zealand,Maharashtra Cricket Association Stadium,c C Munro b T G Southee,7,36.84
29/10/2017,New Zealand,Green Park,c T G Southee b M J Santner,147,106.52
10/12/2017,Sri Lanka,Himachal Pradesh Cricket Association Stadium,c †N Dickwella b R A S Lakmal,2,15.38
13/12/2017,Sri Lanka,Punjab Cricket Association IS Bindra Stadium,not out,208*,135.95
17/12/2017,Sri Lanka,Dr YS Rajasekhara Reddy Cricket Stadium,b A Dananjaya,7,50.00
01/02/2018,South Africa,Kingsmead,c †Q de Kock b M Morkel,20,66.67
04/02/2018,South Africa,SuperSport Park,c M Morkel b K Rabada,15,88.24
07/02/2018,South Africa,Newlands,c †H Klaasen b K Rabada,0,0.00
10/02/2018,South Africa,New Wanderers Stadium,c & b K Rabada,5,38.46
13/02/2018,South Africa,St George's Park,c †H Klaasen b L Ngidi,115,91.27
16/02/2018,South Africa,SuperSport Park,c †H Klaasen b L Ngidi,15,115.38
12/07/2018,England,Trent Bridge,not out,137*,120.18
14/07/2018,England,Lord's,b M A Wood,15,57.69
17/07/2018,England,Headingley,c M A Wood b D J Willey,2,11.11
18/09/2018,Hong Kong,Dubai International Cricket Stadium,c Nizakat Khan b Ehsan Khan,23,104.55
19/09/2018,Pakistan,Dubai International Cricket Stadium,b Shadab Khan,52,133.33
21/09/2018,Bangladesh,Dubai International Cricket Stadium,not out,83*,79.81
23/09/2018,Pakistan,Dubai International Cricket Stadium,not out,111*,93.28
28/09/2018,Bangladesh,Dubai International Cricket Stadium,c Nazmul Islam b Rubel Hossain,48,87.27
21/10/2018,West Indies,Barsapara Cricket Stadium,not out,152*,129.91
24/10/2018,West Indies,Dr YS Rajasekhara Reddy Cricket Stadium,c S O Hetmeyer b K A J Roach,4,50.00
27/10/2018,West Indies,Maharashtra Cricket Association Stadium,b J O Holder,8,88.89
29/10/2018,West Indies,Brabourne Stadium,c C Hemraj b A R Nurse,162,118.25
01/11/2018,West Indies,Greenfield International Stadium,not out,63*,112.50
12/01/2019,Australia,Sydney Cricket Ground,c G J Maxwell b M P Stoinis,133,103.10
15/01/2019,Australia,Adelaide Oval,c P S P Handscomb b M P Stoinis,43,82.69
18/01/2019,Australia,Melbourne Cricket Ground,c S E Marsh b P M Siddle,9,52.94
23/01/2019,New Zealand,McLean Park,c M J Guptill b D A J Bracewell,11,45.83
26/01/2019,New Zealand,Bay Oval,c C de Grandhomme b L H Ferguson,87,90.63
28/01/2019,New Zealand,Bay Oval,st T W M Latham b M J Santner,62,80.52
31/01/2019,New Zealand,Seddon Park,c & b T A Boult,7,30.43
03/02/2019,New Zealand,Westpac Stadium,b M J Henry,2,12.50
02/03/2019,Australia,Rajiv Gandhi International Stadium,c A J Finch b N M Coulter-Nile,37,56.06
05/03/2019,Australia,Vidarbha Cricket Association Stadium,c A Zampa b P J Cummins,0,0.00
08/03/2019,Australia,JSCA International Stadium Complex,lbw b P J Cummins,14,100.00
10/03/2019,Australia,Punjab Cricket Association IS Bindra Stadium,c P S P Handscomb b J A Richardson,95,103.26
13/03/2019,Australia,Feroz Shah Kotla,st A T Carey b A Zampa,56,62.92
